Unnamed: 0,Type of dwelling,General Zoning,Linear feet of street,Lot size in square feet,Type of Acess Road to Property,General shape of property,Flatness of the property,Utilities,Lot configuration,Slope of property,Neighborhood,Proximity to various conditions,Condition2,BldgType,Style of dwelling,Rates the overall material,Rates the overall condition of the house,Original construction date,YearRemodAdd,Type of roof,Roof material,Exterior covering on the house,Exterior2nd,Masonry veneer area in square feet, Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of Heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,econd-floor square feet,	Low-quality finished square feet,Above ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half Bathroom,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,PavedDrive,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),SaleType,SaleCondition,SalePrice
813,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9750,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Above Average,Above Average,1958,1958,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,243,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,608,Unfinished,0,834,1442,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1442,0,0,1442,0,0,1,1,4,1,Typical/Average,7,Typical Functionality,0,No,Attached to the home,1958.0,Rough Finished,1,301,Typical/Average,Typical/Average,Paved,0,0,275,0,0,0,No,No,Shed (over 100 SF),500,Apr,2007,Court Officer Deed/Estate,Normal Sale,157900
814,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,45,8248,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Norm,Norm,1Fam,One and one-half story &2nd level finished,Average,Good,1918,1950,Gable,Standard (Composite) Shingle,Stucco,Stucco,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,686,686,Gas hot water or steam heat,Good,Y,Standard Circuit Breakers & Romex,686,564,0,1250,0,1,1,1,3,1,Fair,7,Typical Functionality,0,No,Detached from home,1955.0,Unfinished,1,280,Typical/Average,Typical/Average,Partial Pavement,207,0,96,0,0,0,No,No,No,0,Jul,2006,Warranty Deed - Conventional,Normal Sale,116000
815,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,48,12137,Paved,Moderately Irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Good,Average,1998,1998,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,442,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1649,1649,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1661,0,0,1661,0,0,2,0,3,1,Good,6,Typical Functionality,0,No,Attached to the home,1998.0,Rough Finished,2,598,Typical/Average,Typical/Average,Paved,0,34,0,0,0,0,No,No,No,0,May,2010,Warranty Deed - Conventional,Normal Sale,224900
816,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,11425,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Above Average,1954,1954,Gable,Standard (Composite) Shingle,Brick Face,BrkFace,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,486,Unfinished,0,522,1008,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1008,0,0,1008,0,0,1,0,2,1,Typical/Average,4,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1954.0,Rough Finished,1,275,Typical/Average,Typical/Average,Paved,0,0,120,0,0,0,No,No,No,0,Jul,2006,Warranty Deed - Conventional,Normal Sale,137000
817,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,13265,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,Mitchel,Norm,Norm,1Fam,One story,Very Good,Average,2002,2002,Hip,Standard (Composite) Shingle,Cement Board,CmentBd,148,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1218,Unfinished,0,350,1568,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1689,0,0,1689,1,0,2,0,3,1,Good,7,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,2002.0,Rough Finished,3,857,Typical/Average,Typical/Average,Paved,150,59,0,0,0,0,No,No,No,0,Jul,2008,Warranty Deed - Conventional,Normal Sale,271000
818,SPLIT OR MULTI-LEVEL,Residential Low-Density,80,8816,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Clear Creek,Norm,Norm,1Fam,Split Level,Above Average,Good,1971,1971,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,80,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,504,Unfinished,0,506,1010,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1052,0,0,1052,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1971.0,Unfinished,2,440,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,Minimum Privacy,No,0,Jun,2010,Warranty Deed - Conventional,Normal Sale,155000
819,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,44,6371,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Norm,Norm,TwnhsE,One story,Good,Average,2009,2010,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,128,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Minimum Exposure,Good Living Quarters,733,Unfinished,0,625,1358,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1358,0,0,1358,1,0,2,0,2,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2010.0,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,192,35,0,0,0,0,No,No,No,0,Jun,2010,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),224000
820,2-STORY 1946 & NEWER,Residential Low-Density,72,7226,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,798,798,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,798,842,0,1640,0,0,2,1,3,1,Good,6,Typical Functionality,0,No,Attached to the home,2003.0,Rough Finished,2,595,Typical/Average,Typical/Average,Paved,0,45,0,0,0,0,No,No,No,0,Jun,2008,Warranty Deed - Conventional,Normal Sale,183000
821,1-STORY 1946 & NEWER ALL STYLES,Residential Medium Density,60,6000,Paved,Regular,Bnk,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,OldTown,Norm,Norm,2fmCon,One story,Below Average,Below Average,1953,1953,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,Fa,Average/Typical,CBlock,Fair (70-79 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,936,936,Gas forced warm air furnace,Average/Typical,N,Standard Circuit Breakers & Romex,936,0,0,936,0,0,1,0,2,1,Typical/Average,4,Minor Deductions 2,0,No,Detached from home,1974.0,Unfinished,2,576,Typical/Average,Typical/Average,Paved,0,32,112,0,0,0,No,No,No,0,Feb,2009,Warranty Deed - Conventional,Normal Sale,93000
822,2-STORY 1946 & NEWER,Residential Low-Density,0,12394,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Gilbert,Norm,Norm,1Fam,Two-story,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Unfinished,0,Unfinished,0,847,847,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,847,886,0,1733,0,0,2,1,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2003.0,Finished,2,433,Typical/Average,Typical/Average,Paved,100,48,0,0,0,0,No,No,No,0,Oct,2007,Warranty Deed - Conventional,Sale between family members,225000
823,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,9900,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SWISU,Norm,Norm,1Fam,One and one-half story &2nd level finished,Above Average,Good,1940,1950,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,778,778,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,944,545,0,1489,0,0,2,0,3,1,Typical/Average,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1940.0,Unfinished,1,240,Typical/Average,Typical/Average,Paved,335,0,0,0,0,0,No,Good Wood,No,0,Jul,2009,Warranty Deed - Conventional,Normal Sale,139500
824,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,81,11216,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,1Fam,One story,Very Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Good,No Exposure,Unfinished,0,Unfinished,0,1489,1489,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1489,0,0,1489,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006.0,Rough Finished,2,776,Typical/Average,Typical/Average,Paved,0,140,0,0,0,0,No,No,No,0,Jun,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),232600
825,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,114,14803,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,PosN,PosN,1Fam,One story,Very Excellent,Average,2007,2008,Hip,Standard (Composite) Shingle,Cement Board,CmentBd,816,Ex,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1636,Unfinished,0,442,2078,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,2084,0,0,2084,1,0,2,0,2,1,Excellent,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2007.0,Finished,3,1220,Typical/Average,Typical/Average,Paved,188,45,0,0,0,0,No,No,No,0,Jun,2008,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),385000
826,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,50,6130,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Norm,Norm,1Fam,One and one-half story&2nd level unfinished,Average,Above Average,1924,1950,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,784,Unfinished,0,0,784,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,784,0,0,784,1,0,1,0,2,1,Good,5,Typical Functionality,0,No,No,2005.0,No,0,0,No,No,Paved,0,0,116,0,0,0,No,No,No,0,May,2008,Warranty Deed - Conventional,Normal Sale,109500
827,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,8529,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SawyerW,Norm,Norm,1Fam,One story,Good,Average,2001,2001,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,20,Unfinished,0,1434,1454,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1434,0,0,1434,0,0,2,0,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2001.0,Rough Finished,2,527,Typical/Average,Typical/Average,Paved,290,39,0,0,0,0,No,No,No,0,Apr,2009,Warranty Deed - Conventional,Normal Sale,189000
828,2-STORY 1946 & NEWER,Residential Low-Density,0,28698,Paved,Moderately Irregular,Low,"All public Utilities (E,G,W,& S)",CulDSac,Severe Slope,Clear Creek,Norm,Norm,1Fam,Two-story,Average,Average,1967,1967,Flat,Gravel & Tar,Plywood,Plywood,0,TA,Average/Typical,PConc,Typical (80-89 inches),Good,Good Exposure,Low Quality,249,Average Living Quarters,764,0,1013,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1160,966,0,2126,0,1,2,1,3,1,Typical/Average,7,Minor Deductions 2,0,No,Attached to the home,1967.0,Finished,2,538,Typical/Average,Typical/Average,Paved,486,0,0,0,225,0,No,No,No,0,Jun,2009,Warranty Deed - Conventional,"Abnormal Sale - trade, foreclosure, short sale",185000
829,2-STORY PUD - 1946 & NEWER,Floating Village Residential,24,2544,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,Twnhs,Two-story,Good,Average,2005,2005,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,600,600,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,520,623,80,1223,0,0,2,1,2,1,Good,4,Typical Functionality,0,No,Detached from home,2005.0,Rough Finished,2,480,Typical/Average,Typical/Average,Paved,0,166,0,0,0,0,No,No,No,0,Jul,2006,Warranty Deed - Conventional,Normal Sale,147400
830,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,11900,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Above Average,Average,1957,1957,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,387,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,1040,Unfinished,0,352,1392,Gas forced warm air furnace,Average/Typical,Y,Fuse Box over 60 AMP and all Romex wiring (Average),1392,0,0,1392,1,0,1,1,3,1,Typical/Average,6,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1957.0,Rough Finished,2,458,Typical/Average,Typical/Average,Paved,0,0,0,0,192,0,No,No,No,0,Jun,2008,Warranty Deed - Conventional,Normal Sale,166000
831,2-STORY PUD - 1946 & NEWER,Floating Village Residential,30,3180,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,TwnhsE,Two-story,Good,Average,2005,2005,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,600,600,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,520,600,80,1200,0,0,2,1,2,1,Good,4,Typical Functionality,0,No,Detached from home,2005.0,Rough Finished,2,480,Typical/Average,Typical/Average,Paved,0,166,0,0,0,0,No,No,No,0,Jun,2006,Warranty Deed - Conventional,Normal Sale,151000
832,2-STORY 1946 & NEWER,Residential Low-Density,44,9548,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Good,Above Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,223,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,483,Unfinished,0,458,941,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,941,888,0,1829,1,0,2,1,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2003.0,Rough Finished,2,613,Typical/Average,Typical/Average,Paved,192,39,0,0,0,0,No,No,No,0,Jan,2010,Warranty Deed - Conventional,Normal Sale,237000
833,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,100,10004,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Above Average,Above Average,1964,1964,Gable,Standard (Composite) Shingle,Hard Board,Plywood,180,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,196,Below Average Living Quarters,345,975,1516,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1516,0,0,1516,0,0,1,1,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1964.0,Rough Finished,2,472,Typical/Average,Typical/Average,Paved,0,0,0,0,152,0,No,No,No,0,Feb,2009,Warranty Deed - Conventional,Normal Sale,167000
834,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,7875,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Above Average,1961,1961,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,136,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,572,Unfinished,0,572,1144,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1144,0,0,1144,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1961.0,Unfinished,2,456,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,Good Wood,No,0,Sep,2008,Warranty Deed - Conventional,Normal Sale,139950
835,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,9600,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Norm,Norm,1Fam,One story,Below Average,Good,1950,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,HdBoard,0,TA,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,442,Unfinished,0,625,1067,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1067,0,0,1067,0,0,2,0,2,1,Good,4,Minor Deductions 2,0,No,Attached to the home,1996.0,Unfinished,2,436,Typical/Average,Typical/Average,Paved,290,0,0,0,0,0,No,No,No,0,Feb,2010,Warranty Deed - Conventional,Normal Sale,128000
836,1-STORY 1945 & OLDER,Residential Medium Density,90,8100,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Norm,Norm,1Fam,One story,Average,Above Average,1948,1973,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,338,Unfinished,0,1221,1559,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1559,0,0,1559,1,0,1,0,2,1,Typical/Average,5,Minor Deductions 2,0,No,Detached from home,1948.0,Unfinished,2,812,Typical/Average,Typical/Average,Paved,0,116,230,0,0,0,No,Good Wood,No,0,Jun,2007,Court Officer Deed/Estate,Normal Sale,153500
837,2-STORY PUD - 1946 & NEWER,Residential Medium Density,21,1680,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Briardale,Norm,Norm,Twnhs,Two-story,Above Average,Average,1973,1973,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,158,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,330,Unfinished,0,153,483,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,483,504,0,987,1,0,1,1,2,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1973.0,Unfinished,1,264,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Nov,2008,Warranty Deed - Conventional,Normal Sale,100000
838,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9525,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Average,Above Average,1995,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1099,1099,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1099,0,0,1099,0,0,1,1,3,1,Good,6,Typical Functionality,0,No,Attached to the home,1999.0,Unfinished,1,352,Typical/Average,Typical/Average,Paved,278,0,0,0,0,0,No,No,No,0,Jun,2008,Warranty Deed - Conventional,Normal Sale,144000
839,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,70,11767,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Norm,Norm,1Fam,One and one-half story &2nd level finished,Average,Above Average,1946,1995,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,352,Unfinished,0,416,768,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,768,432,0,1200,0,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,1946.0,Unfinished,1,240,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,May,2008,Warranty Deed - Conventional,Normal Sale,130500
840,2-STORY 1945 & OLDER,Residential High-Density,0,12155,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SWISU,Norm,Norm,1Fam,Two-story,Above Average,Very Good,1925,1950,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,156,Unfinished,0,516,672,Gas forced warm air furnace,Average/Typical,N,Standard Circuit Breakers & Romex,810,672,0,1482,0,0,2,0,4,1,Fair,7,Typical Functionality,0,No,Detached from home,1934.0,Unfinished,1,400,Typical/Average,Typical/Average,Partial Pavement,0,0,254,0,0,0,No,No,No,0,Mar,2008,Warranty Deed - Conventional,Normal Sale,140000
841,2-STORY 1945 & OLDER,Residential Medium Density,60,10440,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Norm,Norm,1Fam,Two-story,Average,Very Good,1904,2002,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,PConc,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,650,650,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,958,581,0,1539,0,0,2,0,3,1,Good,8,Typical Functionality,1,Poor - Ben Franklin Stove,Detached from home,1983.0,Unfinished,2,686,Good,Typical/Average,Partial Pavement,70,78,68,0,0,0,No,No,No,0,Jun,2008,Warranty Deed - Conventional,Normal Sale,157500
842,SPLIT OR MULTI-LEVEL,Residential Low-Density,82,9020,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,Split Level,Above Average,Good,1966,1966,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,183,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Rec Room,312,Average Living Quarters,539,276,1127,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1165,0,0,1165,1,0,1,1,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1966.0,Rough Finished,2,490,Good,Good,Paved,0,129,0,0,0,0,No,Good Privacy,No,0,May,2008,Warranty Deed - Conventional,Normal Sale,174900
843,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,80,8000,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NAmes,Artery,Norm,Duplex,One story,Average,Below Average,1961,1961,Gable,Standard (Composite) Shingle,Brick Face,BrkFace,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1800,1800,Gas forced warm air furnace,Excellent,N,Standard Circuit Breakers & Romex,1800,0,0,1800,0,0,2,0,6,2,Typical/Average,10,Typical Functionality,0,No,No,2005.0,No,0,0,No,No,Paved,0,0,0,0,0,0,No,No,No,0,Jul,2007,Warranty Deed - Conventional,Normal Sale,141000
844,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,100,12665,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Artery,Norm,1Fam,One and one-half story &2nd level finished,Average,Very Good,1915,1950,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Unfinished,0,Unfinished,0,876,876,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,876,540,0,1416,0,0,1,1,4,1,Typical/Average,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1949.0,Unfinished,3,720,Typical/Average,Typical/Average,Paved,418,0,194,0,0,0,No,No,No,0,Jun,2008,Warranty Deed - Conventional,Normal Sale,153900
845,SC85,Residential Low-Density,0,16647,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,Sawyer,RRAe,Norm,1Fam,Split Foyer,Average,Average,1975,1981,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,0,TA,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Average Living Quarters,1390,Unfinished,0,0,1390,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1701,0,0,1701,1,0,2,0,3,1,Typical/Average,6,Minor Deductions 2,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Basement Garage,1975.0,Finished,2,611,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Jan,2007,Warranty Deed - Conventional,Normal Sale,171000
